Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1720610045,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0002441,2800.0002441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136.9590454,0.0,0.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
1720610046,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0002441,2800.0002441,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-2.0,63.4000015,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
1720610047,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0002441,2800.0002441,0.0,0.0,0.0,-0.555,-199800.0,0.0,-3.3,-1.9,64.9000015,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610048,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,2.2,-1.6,65.1999969,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610049,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,-7.8000002,-2.3,65.0,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610050,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,3.5999999,-1.6,64.5999985,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610051,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,-4.5999999,-1.7,64.0,-136.9590454,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610052,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.1,-2.4000001,65.4000015,-104.0640869,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610053,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.5688477,2799.5688477,0.0,0.0,0.0,-0.555,-199800.0,0.0,-2.0,-1.3,63.7000008,-99.6518555,0.0,15.0,41.1228371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610054,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4523926,2799.4523926,0.0,0.0,0.0,-0.555,-199800.0,0.0,-3.2,-2.2,64.5999985,-99.6518555,0.0,15.0,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
